FunIndex,Description,SetValue,CurrentValue,DefaultValue,MinValue,MaxValue,Unit,ModifiedMethod,EffectiveMethod,DataType,AppliedMode
H00_00,Motor code,---,601100,FactoryReg,0,2147483647,-,ReadOnly,-,UInt32,ALL
H00_02,Brake select,---,0,FactoryReg,0,2,-,ServoDisable,PowerOnAgain,UInt32,ALL
H00_08,Encoder zero setting status,---,0,-,0,1,-,ReadOnly,-,UInt16,ALL
H00_09,Motor rated voltage,---,48,FactoryReg,0,380,V,ServoDisable,PowerOnAgain,UInt16,ALL
H00_11,Motor rated current,---,1100,FactoryReg,0,65535,10mA,ServoDisable,PowerOnAgain,UInt16,ALL
H00_12,Motor rated torque,---,1270,FactoryReg,0,65535,0.001Nm,ServoDisable,PowerOnAgain,UInt16,ALL
H00_14,Motor rated speed,---,3000,FactoryReg,0,6000,rpm,ServoDisable,PowerOnAgain,UInt16,ALL
H00_15,Motor max speed,---,3600,FactoryReg,0,6000,rpm,ServoDisable,PowerOnAgain,UInt16,ALL
H00_16,Motor rotational inertia,---,580,FactoryReg,1,65535,0.001kg﹞cm昌,ServoDisable,PowerOnAgain,UInt16,ALL
H00_17,Motor polar pairs,---,5,FactoryReg,2,360,pole-pairs,ServoDisable,PowerOnAgain,UInt16,ALL
H00_18,Motor stator resistor,---,135,FactoryReg,1,65535,m目,ServoDisable,PowerOnAgain,UInt16,ALL
H00_19,Motor stator inductance Lq,---,28,FactoryReg,1,65535,0.01mH,ServoDisable,PowerOnAgain,UInt16,ALL
H00_20,Motor stator inductance Ld,---,28,FactoryReg,1,65535,0.01mH,ServoDisable,PowerOnAgain,UInt16,ALL
H00_21,Motor counter emf ,---,700,FactoryReg,1,65535,0.01V/1000rpm,ServoDisable,PowerOnAgain,UInt16,ALL
H00_22,Drive a_phase current autocal offset,---,0,FactoryReg,-3300,3300,mv,ReadOnly,-,Int16,ALL
H00_23,Drive c_phase current autocal offset,---,15,FactoryReg,-3300,3300,mv,ReadOnly,-,Int16,ALL
H00_28,Encoder null offset,---,17636,FactoryReg,-131072,131072,P/r,ServoDisable,PowerOnAgain,Int32,ALL
H00_30,Encoder type select,---,1,FactoryReg,0,2147483647,-,ServoDisable,PowerOnAgain,UInt32,ALL
H00_31,Encoder resolution,---,17,FactoryReg,0,1073741824,P/r,ServoDisable,PowerOnAgain,UInt32,ALL
H00_35,damping resistance,---,0,FactoryReg,0,65535,m目,ServoDisable,PowerOnAgain,UInt16,ALL
H00_43,Motor max current,---,2200,FactoryReg,0,65535,10mA,ServoDisable,PowerOnAgain,UInt16,ALL
H01_00,Mcu software version,---,257,-,0,65535,-,ReadOnly,-,UInt16,ALL
H01_01,Current sampling filtering time,---,30,FactoryReg,0,500,us,ServoDisable,PowerOnAgain,UInt16,ALL
H01_02,Drive code,---,4812,FactoryReg,0,65535,-,ServoDisable,Immediate,UInt16,ALL
H01_03,Drive max current,---,2200,FactoryReg,10,30000,10mA,ServoDisable,Immediate,UInt16,ALL
H01_04,Drive current sampling retardation time,---,50,FactoryReg,1,10000,0.01ms,AnyModified,Immediate,UInt16,ALL
H01_05,Drive current sampling resistor,---,10,FactoryReg,1,1000,m目,ServoDisable,PowerOnAgain,UInt16,ALL
H01_06,Drive current sampling amplifier input res,---,1000,FactoryReg,500,65535,目,ServoDisable,PowerOnAgain,UInt16,ALL
H01_07,Drive current sampling amplifier feedback res,---,4990,FactoryReg,500,65535,目,ServoDisable,PowerOnAgain,UInt16,ALL
H01_08,Drive overtemperature alarm threshold,---,90,FactoryReg,40,100,﹎,ServoDisable,Immediate,UInt16,ALL
H01_09,Drive bus voltage attenuation coefficient,---,3100,FactoryReg,0,65535,-,ServoDisable,PowerOnAgain,UInt16,ALL
H02_00,Control mode selection,,1,1,0,8,-,ServoDisable,Immediate,UInt16,ALL
H02_02,Direction of rotation,,0,0,0,1,-,ServoDisable,PowerOnAgain,UInt16,ALL
H02_05,Stop mode at S-OFF,,0,0,0,2,-,ServoDisable,Immediate,UInt16,ALL
H02_09,Delay from brake opened upon S-ON to command received,,250,250,0,500,ms,AnyModified,Immediate,UInt16,ALL
H02_10,Delay from brake command to S-OFF,,150,150,1,1000,ms,AnyModified,Immediate,UInt16,ALL
H02_19,Brake resistance start working voltage value,,600,FactoryReg,150,10000,0.1V,ServoDisable,PowerOnAgain,UInt16,ALL
H02_20,Brake resistance stop working voltage value,,580,FactoryReg,150,10000,0.1V,ServoDisable,Immediate,UInt16,ALL
H02_21,Brake resistance minimum allowable resistance,---,20,FactoryReg,0,65535,目,ReadOnly,-,UInt16,ALL
H02_22,Built-in brake resistance power,---,0,FactoryReg,0,65535,W,ReadOnly,-,UInt16,ALL
H02_23,Built-in brake resistance value,---,65535,FactoryReg,0,65535,目,ReadOnly,-,UInt16,ALL
H02_24,Heat dissipation coefficient of brake resistance,,5,FactoryReg,5,100,%,ServoDisable,Immediate,UInt16,ALL
H02_25,Brake resistance setting,,3,FactoryReg,0,3,-,ServoDisable,Immediate,UInt16,ALL
H02_26,External brake resistance power,,1,1,1,65535,W,ServoDisable,Immediate,UInt16,ALL
H02_27,External brake resistance value,,50,50,1,1000,目,ServoDisable,Immediate,UInt16,ALL
H02_30,Password,---,0,0,0,65535,-,ReadOnly,Immediate,UInt16,ALL
H02_31,Internal reset,,0,0,0,5,-,ServoDisable,Immediate,UInt16,ALL
H03_02,DI1 function selection,0,0,1,0,41,-,AnyModified,Immediate,UInt16,ALL
H03_03,DI1 logic selection,,0,0,0,1,-,AnyModified,Immediate,UInt16,ALL
H03_04,DI2 function selection,,1,2,0,41,-,AnyModified,Immediate,UInt16,ALL
H03_05,DI2 logic selection,,1,0,0,1,-,AnyModified,Immediate,UInt16,ALL
H03_06,DI3 function selection,,34,34,0,41,-,AnyModified,Immediate,UInt16,ALL
H03_07,DI3 logic selection,,0,0,0,1,-,AnyModified,Immediate,UInt16,ALL
H03_08,DI4 function selection,,28,18,0,41,-,AnyModified,Immediate,UInt16,ALL
H03_09,DI4 logic selection,,1,0,0,1,-,AnyModified,Immediate,UInt16,ALL
H03_10,DI5 function selection,,19,19,0,41,-,AnyModified,Immediate,UInt16,ALL
H03_11,DI5 logic selection,,0,0,0,1,-,AnyModified,Immediate,UInt16,ALL
H03_16,DI8 function selection,,0,0,0,41,-,AnyModified,Immediate,UInt16,ALL
H03_17,DI8 logic selection,,0,0,0,1,-,AnyModified,Immediate,UInt16,ALL
H03_18,DI9 function selection,,0,0,0,41,-,AnyModified,Immediate,UInt16,ALL
H03_19,DI9 logic selection,,0,0,0,1,-,AnyModified,Immediate,UInt16,ALL
H03_50,AI1 OR Pwm offset,,0,0,-5000,5000,mv/pwm%,AnyModified,Immediate,Int16,S/T
H03_51,AI1 OR Pwm dead zone,,2000,2000,0,65535,0.01ms,AnyModified,Immediate,UInt16,S/T
H03_53,AI1 dead Filter time,,100,100,0,10000,0.1mv,AnyModified,Immediate,UInt16,S/T
H03_54,AI1 zero offset,,0,0,-5000,5000,0.1mv,AnyModified,Immediate,Int16,S/T
H03_80,AI1(10V) OR Pwm(100%)  out speed,,3000,3000,0,6000,rpm,ServoDisable,Immediate,UInt16,S/T
H03_81,AI1(10V)  out torque,,100,100,100,800,0.01袺,ServoDisable,Immediate,UInt16,S/T
H04_00,DO1 function selection,,1,1,0,24,-,AnyModified,Immediate,UInt16,ALL
H04_01,DO1 logic level selection,,0,0,0,1,-,AnyModified,Immediate,UInt16,ALL
H04_02,DO2 function selection,,11,11,0,24,-,AnyModified,Immediate,UInt16,ALL
H04_03,DO2 logic level selection,,0,0,0,1,-,AnyModified,Immediate,UInt16,ALL
H04_04,DO3 function selection,,5,5,0,24,-,AnyModified,Immediate,UInt16,ALL
H04_05,DO3 logic level selection,,0,0,0,1,-,AnyModified,Immediate,UInt16,ALL
H04_06,DO4 function selection,,18,18,0,24,-,AnyModified,Immediate,UInt16,ALL
H04_07,DO4 logic level selection,,0,0,0,1,-,AnyModified,Immediate,UInt16,ALL
H04_08,DO5 function selection,,19,19,0,24,-,AnyModified,Immediate,UInt16,ALL
H04_09,DO5 logic level selection,,0,0,0,1,-,AnyModified,Immediate,UInt16,ALL
H05_00,Position reference source,,2,0,0,2,-,ServoDisable,Immediate,UInt16,P
H05_04,First-order low-pass filter time,,500,FactoryReg,0,65535,0.1ms,ServoDisable,Immediate,UInt16,P
H05_07,Electronic gear ratio numerator 1,,131072,131072,0,1073741824,-,ServoDisable,Immediate,UInt32,P
H05_09,Electronic gear ratio denominator 1,,1000,1000,0,1073741824,-,ServoDisable,Immediate,UInt32,P
H05_15,Pulse string form,,0,0,0,3,-,ServoDisable,PowerOnAgain,UInt16,P
H05_17,Encoder frequency-division output,,1,1,1,50,pulse,AnyModified,Immediate,UInt16,P
H05_21,Positioning completed threshold,,92,92,0,65535,enc_pulse,AnyModified,Immediate,UInt16,P
